run_id,job_id,arrival_time_ms,service_time_ms,start_time_ms,finish_time_ms,waiting_time_ms,execution_time_ms,response_time_ms,cpu_usage_percent,memory_usage_mb,slowdown,priority
7931f1539a,PR00050,1307,190,22340000,22340190,22338693,190,22338883,48.95,5400.9765625,117573.06842105264,-6
7931f1539a,PR00051,1341,95,32700000,32700095,32698659,95,32698754,44.1,5401.890625,344197.4105263158,3
7931f1539a,PR00052,1381,101,8960000,8960101,8958619,101,8958720,25.6,5400.66015625,88700.19801980197,-14
7931f1539a,PR00053,1388,80,41860000,41860080,41858612,80,41858692,46.5,5399.19921875,523233.65,15
7931f1539a,PR00054,1421,518,30180000,30180518,30178579,518,30179097,47.2,5401.6875,58260.80501930502,1
7931f1539a,PR00055,1471,175,380000,380175,378529,175,378704,0.0,5408.15234375,2164.022857142857,-19
7931f1539a,PR00056,1509,171,39340000,39340171,39338491,171,39338662,21.6,5401.5859375,230050.65497076022,12
7931f1539a,PR00057,1524,152,8920000,8920152,8918476,152,8918628,50.15,5400.66015625,58675.18421052631,-14
7931f1539a,PR00058,1556,422,39420000,39420422,39418444,422,39418866,71.1,5401.5078125,93409.63507109004,12
7931f1539a,PR00059,1580,250,7380000,7380250,7378420,250,7378670,50.55,5400.67578125,29514.68,-15
7931f1539a,PR00060,1616,322,37480000,37480322,37478384,322,37478706,54.8,5400.46875,116393.49689440994,9
7931f1539a,PR00061,1650,247,26120000,26120247,26118350,247,26118597,21.6,5402.69921875,105743.30769230769,-3
7931f1539a,PR00062,1662,160,26240000,26240160,26238338,160,26238498,21.1,5402.69921875,163990.6125,-3
7931f1539a,PR00063,1673,61,10560000,10560061,10558327,61,10558388,24.15,5400.640625,173088.32786885247,-13
7931f1539a,PR00064,1707,419,20760000,20760419,20758293,419,20758712,58.3,5400.77734375,49543.46539379475,-7
7931f1539a,PR00065,1754,226,400000,400226,398246,226,398472,45.85,5408.15234375,1763.1504424778761,-19
7931f1539a,PR00066,1769,575,32860000,32860575,32858231,575,32858806,35.65,5401.890625,57145.74956521739,3
7931f1539a,PR00067,1775,594,34000000,34000594,33998225,594,33998819,44.35,5401.87109375,57237.06902356903,4
7931f1539a,PR00068,1816,309,27460000,27460309,27458184,309,27458493,43.25,5401.66796875,88862.43689320388,-2
7931f1539a,PR00069,1838,147,5900000,5900147,5898162,147,5898309,51.45,5400.453125,40124.551020408166,-16
7931f1539a,PR00070,1849,43,7460000,7460043,7458151,43,7458194,25.55,5400.67578125,173446.37209302327,-15
7931f1539a,PR00071,1876,67,9000000,9000067,8998124,67,8998191,25.75,5400.66015625,134301.35820895524,-14
7931f1539a,PR00072,1913,86,28180000,28180086,28178087,86,28178173,43.75,5401.71875,327653.17441860464,-1
7931f1539a,PR00073,1936,144,7540000,7540144,7538064,144,7538208,75.25,5400.67578125,52348.666666666664,-15
7931f1539a,PR00074,1939,292,38660000,38660292,38658061,292,38658353,21.6,5400.234375,132391.6198630137,11
7931f1539a,PR00075,1970,131,2860000,2860131,2858030,131,2858161,50.0,5409.625,21818.022900763357,-18
7931f1539a,PR00076,1976,190,4400000,4400190,4398024,190,4398214,0.0,5408.34765625,23148.494736842105,-17
7931f1539a,PR00077,2001,60,29420000,29420060,29417999,60,29418059,71.15,5401.703125,490300.98333333334,0
7931f1539a,PR00078,2031,250,10620000,10620250,10617969,250,10618219,49.45,5400.63671875,42472.876,-13
7931f1539a,PR00079,2063,732,39440000,39440732,39437937,732,39438669,38.0,5401.5078125,53877.9631147541,12
7931f1539a,PR00080,2091,281,32900000,32900281,32897909,281,32898190,44.4,5401.890625,117075.40925266904,3
7931f1539a,PR00081,2120,87,37500000,37500087,37497880,87,37497967,71.8,5400.46875,431011.1149425287,9
7931f1539a,PR00082,2170,187,480000,480187,477830,187,478017,0.0,5409.93359375,2556.2406417112297,-19
7931f1539a,PR00083,2196,158,43480000,43480158,43477804,158,43477962,69.65,5398.92578125,275176.9746835443,17
