run_id,job_id,arrival_time_ms,service_time_ms,start_time_ms,finish_time_ms,waiting_time_ms,execution_time_ms,response_time_ms,cpu_usage_percent,memory_usage_mb,slowdown,priority
55a4619bf6,PR00001,0,269,10460000,10460269,10460000,269,10460269,14.2,5289.94140625,38885.75836431227,-16
55a4619bf6,PR00002,37,260,78420000,78420260,78419963,260,78420223,14.2,5229.7265625,301616.2423076923,16
55a4619bf6,PR00003,80,311,34320000,34320311,34319920,311,34320231,38.05,5292.53125,110354.44051446945,-7
55a4619bf6,PR00004,120,528,65300000,65300528,65299880,528,65300408,34.599999999999994,5234.50390625,123675.01515151515,7
55a4619bf6,PR00005,162,30,2120000,2120030,2119838,30,2119868,0.0,5285.50390625,70662.26666666666,-19
55a4619bf6,PR00006,174,16,8340000,8340016,8339826,16,8339842,14.5,5289.70703125,521240.125,-17
55a4619bf6,PR00007,222,219,27160000,27160219,27159778,219,27159997,30.45,5292.01171875,124018.25114155251,-10
55a4619bf6,PR00008,243,399,82860000,82860399,82859757,399,82860156,41.35,5224.0,207669.56390977444,19
55a4619bf6,PR00009,272,58,41080000,41080058,41079728,58,41079786,31.5,5299.97265625,708272.1724137932,-4
55a4619bf6,PR00010,281,167,43400000,43400167,43399719,167,43399886,30.0,5300.015625,259879.55688622754,-3
55a4619bf6,PR00011,293,339,53160000,53160339,53159707,339,53160046,38.7,5236.28515625,156814.29498525074,1
55a4619bf6,PR00012,299,252,29160000,29160252,29159701,252,29159953,38.7,5292.55078125,115714.0992063492,-9
55a4619bf6,PR00013,310,597,74120000,74120597,74119690,597,74120287,38.35,5235.5859375,124154.58458961474,13
55a4619bf6,PR00014,346,428,34660000,34660428,34659654,428,34660082,38.5,5292.53125,80981.5,-7
55a4619bf6,PR00015,389,285,31660000,31660285,31659611,285,31659896,13.1,5292.5390625,111087.3543859649,-8
55a4619bf6,PR00016,410,266,45720000,45720266,45719590,266,45719856,13.2,5300.23828125,171879.15789473685,-2
55a4619bf6,PR00017,447,67,2140000,2140067,2139553,67,2139620,0.0,5285.55859375,31934.626865671642,-19
