run_id,job_id,arrival_time_ms,service_time_ms,start_time_ms,finish_time_ms,waiting_time_ms,execution_time_ms,response_time_ms,cpu_usage_percent,memory_usage_mb,slowdown,priority
abff7967f6,PR00049,1265,184,89340000,89340184,89338735,184,89338919,28.0,4559.765625,485537.60326086957,8
abff7967f6,PR00050,1307,190,52640000,52640190,52638693,190,52638883,13.15,4550.56640625,277046.75263157894,-6
abff7967f6,PR00051,1341,95,78500000,78500095,78498659,95,78498754,48.1,4554.00390625,826302.6736842105,3
abff7967f6,PR00052,1381,101,25080000,25080101,25078619,101,25078720,39.75,4548.8046875,248304.15841584158,-14
abff7967f6,PR00053,1388,80,103520000,103520080,103518612,80,103518692,21.15,4558.90234375,1293983.65,15
abff7967f6,PR00054,1421,518,72400000,72400518,72398579,518,72399097,47.2,4548.078125,139766.59652509654,1
abff7967f6,PR00055,1471,175,3460000,3460175,3458529,175,3458704,20.6,4536.734375,19764.022857142856,-19
abff7967f6,PR00056,1509,171,97040000,97040171,97038491,171,97038662,52.1,4545.97265625,567477.5555555555,12
abff7967f6,PR00057,1524,152,25120000,25120152,25118476,152,25118628,46.15,4548.8046875,165254.13157894736,-14
abff7967f6,PR00058,1556,422,97120000,97120422,97118444,422,97118866,48.1,4545.97265625,230139.49289099526,12
abff7967f6,PR00059,1580,250,20400000,20400250,20398420,250,20398670,47.2,4544.3125,81594.68,-15
abff7967f6,PR00060,1616,322,91160000,91160322,91158384,322,91158706,37.95,4559.98046875,283101.5714285714,9
abff7967f6,PR00061,1650,247,61060000,61060247,61058350,247,61058597,35.55,4547.08203125,247200.7975708502,-3
abff7967f6,PR00062,1662,160,61120000,61120160,61118338,160,61118498,27.2,4547.3046875,381990.6125,-3
abff7967f6,PR00063,1673,61,29140000,29140061,29138327,61,29138388,23.15,4544.828125,477678.4918032787,-13
abff7967f6,PR00064,1707,419,49780000,49780419,49778293,419,49778712,13.35,4551.390625,118803.60859188544,-7
abff7967f6,PR00065,1754,226,3500000,3500226,3498246,226,3498472,45.6,4536.734375,15479.964601769912,-19
abff7967f6,PR00066,1769,575,78580000,78580575,78578231,575,78578806,47.75,4554.11328125,136658.79304347825,3
abff7967f6,PR00067,1775,594,81480000,81480594,81478225,594,81478819,35.55,4556.28515625,137169.72895622897,4
abff7967f6,PR00068,1816,309,64120000,64120309,64118184,309,64118493,13.05,4540.828125,207503.21359223302,-2
abff7967f6,PR00069,1838,147,16800000,16800147,16798162,147,16798309,14.3,4542.92578125,114274.21088435374,-16
abff7967f6,PR00070,1849,43,20520000,20520043,20518151,43,20518194,46.45,4544.5546875,477167.3023255814,-15
abff7967f6,PR00071,1876,67,25420000,25420067,25418124,67,25418191,23.1,4541.48828125,379375.98507462686,-14
abff7967f6,PR00072,1913,86,66560000,66560086,66558087,86,66558173,13.65,4543.265625,773932.2441860465,-1
abff7967f6,PR00073,1936,144,20560000,20560144,20558064,144,20558208,39.849999999999994,4544.5546875,142765.33333333334,-15
abff7967f6,PR00074,1939,292,94480000,94480292,94478061,292,94478353,40.8,4562.34375,323556.0034246575,11
abff7967f6,PR00075,1970,131,8700000,8700131,8698030,131,8698161,21.2,4539.00390625,66398.17557251909,-18
abff7967f6,PR00076,1976,190,13220000,13220190,13218024,190,13218214,29.7,4546.546875,69569.54736842106,-17
abff7967f6,PR00077,2001,60,69760000,69760060,69757999,60,69758059,42.3,4545.1796875,1162634.3166666667,0
abff7967f6,PR00078,2031,250,29200000,29200250,29197969,250,29198219,45.0,4545.05078125,116792.876,-13
abff7967f6,PR00079,2063,732,97220000,97220732,97217937,732,97218669,40.8,4553.765625,132812.3893442623,12
abff7967f6,PR00080,2091,281,78860000,78860281,78857909,281,78858190,42.15,4554.0859375,280634.128113879,3
abff7967f6,PR00081,2120,87,91380000,91380087,91377880,87,91377967,47.0,4560.25390625,1050321.4597701149,9
abff7967f6,PR00082,2170,187,3740000,3740187,3737830,187,3738017,21.9,4537.171875,19989.395721925135,-19
abff7967f6,PR00083,2196,158,107400000,107400158,107397804,158,107397962,15.2,4550.640625,679733.9367088608,17
abff7967f6,PR00084,2220,26,40480000,40480026,40477780,26,40477806,13.9,4546.0546875,1556838.6923076923,-10
abff7967f6,PR00085,2259,41,25480000,25480041,25477741,41,25477782,45.85,4541.48828125,621409.3170731707,-14
abff7967f6,PR00086,2271,31,16820000,16820031,16817729,31,16817760,14.6,4542.92578125,542508.3870967742,-16
abff7967f6,PR00087,2284,330,66620000,66620330,66617716,330,66618046,10.0,4543.265625,201872.86666666667,-1
abff7967f6,PR00088,2290,224,16880000,16880224,16877710,224,16877934,15.0,4542.92578125,75347.91964285714,-16
abff7967f6,PR00089,2319,250,87620000,87620250,87617681,250,87617931,41.65,4559.5234375,350471.724,7
abff7967f6,PR00090,2332,193,3800000,3800193,3797668,193,3797861,40.0,4537.4140625,19678.036269430053,-19
abff7967f6,PR00091,2371,147,46360000,46360147,46357629,147,46357776,10.4,4549.55078125,315359.02040816325,-8
abff7967f6,PR00092,2385,148,3880000,3880148,3877615,148,3877763,28.95,4537.8671875,26201.10135135135,-19
abff7967f6,PR00093,2420,174,107460000,107460174,107457580,174,107457754,31.45,4550.640625,617573.2988505748,17
abff7967f6,PR00094,2465,594,93360000,93360594,93357535,594,93358129,16.65,4561.42578125,157168.56734006733,10
abff7967f6,PR00095,2472,559,107600000,107600559,107597528,559,107598087,10.0,4550.640625,192483.16100178892,17
abff7967f6,PR00096,2493,400,61140000,61140400,61137507,400,61137907,36.9,4547.3046875,152844.7675,-3
abff7967f6,PR00097,2502,670,93420000,93420670,93417498,670,93418168,39.05,4561.42578125,139430.1014925373,10
abff7967f6,PR00098,2522,728,110240000,110240728,110237478,728,110238206,13.9,4550.375,151426.10714285713,18
abff7967f6,PR00099,2559,439,103620000,103620439,103617441,439,103617880,54.05,4560.68359375,236031.6173120729,15
abff7967f6,PR00100,2609,270,105500000,105500270,105497391,270,105497661,15.9,4550.875,390732.0777777778,16
abff7967f6,PR00101,2649,118,43260000,43260118,43257351,118,43257469,43.2,4548.203125,366588.72033898305,-9
abff7967f6,PR00102,2677,508,72560000,72560508,72557323,508,72557831,48.8,4548.078125,142830.37598425196,1
abff7967f6,PR00103,2725,223,25600000,25600223,25597275,223,25597498,23.1,4541.9296875,114786.9865470852,-14
abff7967f6,PR00104,2739,100,3960000,3960100,3957261,100,3957361,20.599999999999998,4537.8671875,39573.61,-19
abff7967f6,PR00105,2777,203,89340000,89340203,89337223,203,89337426,37.0,4559.765625,440085.842364532,8
abff7967f6,PR00106,2787,156,64180000,64180156,64177213,156,64177369,28.0,4540.828125,411393.391025641,-2
abff7967f6,PR00107,2800,20,13240000,13240020,13237200,20,13237220,13.05,4546.546875,661861.0,-17
abff7967f6,PR00108,2839,625,94620000,94620625,94617161,625,94617786,34.849999999999994,4562.3984375,151388.4576,11
abff7967f6,PR00109,2863,422,107720000,107720422,107717137,422,107717559,13.35,4550.640625,255254.87914691944,17
abff7967f6,PR00110,2902,348,58160000,58160348,58157098,348,58157446,34.1,4545.81640625,167119.09770114944,-4
abff7967f6,PR00111,2949,62,58300000,58300062,58297051,62,58297113,27.349999999999998,4545.86328125,940276.0161290322,-4
abff7967f6,PR00112,2963,149,40700000,40700149,40697037,149,40697186,10.4,4546.0546875,273135.4765100671,-10
abff7967f6,PR00113,2971,215,66880000,66880215,66877029,215,66877244,12.5,4543.4921875,311056.9488372093,-1
abff7967f6,PR00114,2986,161,36840000,36840161,36837014,161,36837175,38.8,4547.8203125,228802.32919254657,-11
abff7967f6,PR00115,2995,399,46380000,46380399,46377005,399,46377404,10.0,4549.55078125,116234.09523809524,-8
abff7967f6,PR00116,3011,513,69840000,69840513,69836989,513,69837502,63.65,4545.421875,136135.4814814815,0
abff7967f6,PR00117,3043,576,87740000,87740576,87736957,576,87737533,16.65,4559.5234375,152322.10590277778,7
abff7967f6,PR00118,3058,90,4160000,4160090,4156942,90,4157032,38.4,4537.98046875,46189.24444444444,-19
abff7967f6,PR00119,3072,39,4200000,4200039,4196928,39,4196967,20.45,4537.73046875,107614.53846153847,-19
abff7967f6,PR00120,3109,27,81740000,81740027,81736891,27,81736918,47.150000000000006,4556.28515625,3027293.2592592593,4
abff7967f6,PR00121,3119,287,37020000,37020287,37016881,287,37017168,29.15,4547.8203125,128979.67944250871,-11
abff7967f6,PR00122,3133,68,32260000,32260068,32256867,68,32256935,39.3,4544.50390625,474366.6911764706,-12
abff7967f6,PR00123,3158,104,97440000,97440104,97436842,104,97436946,44.05,4554.2109375,936893.7115384615,12
abff7967f6,PR00124,3187,75,37100000,37100075,37096813,75,37096888,10.0,4547.8203125,494625.17333333334,-11
abff7967f6,PR00125,3214,303,58340000,58340303,58336786,303,58337089,36.9,4545.86328125,192531.64686468648,-4
abff7967f6,PR00126,3252,249,43380000,43380249,43376748,249,43376997,43.75,4548.203125,174204.80722891566,-9
abff7967f6,PR00127,3294,55,8800000,8800055,8796706,55,8796761,44.35,4539.00390625,159941.1090909091,-18
abff7967f6,PR00128,3330,352,32260000,32260352,32256670,352,32257022,40.9,4544.50390625,91639.26704545454,-12
abff7967f6,PR00129,3349,305,52660000,52660305,52656651,305,52656956,12.5,4550.56640625,172645.7573770492,-6
abff7967f6,PR00130,3375,702,99720000,99720702,99716625,702,99717327,15.0,4556.75,142047.47435897434,13
abff7967f6,PR00131,3411,250,20760000,20760250,20756589,250,20756839,49.15,4543.79296875,83027.356,-15
abff7967f6,PR00132,3430,389,102100000,102100389,102096570,389,102096959,11.9,4558.68359375,262460.0488431877,14
abff7967f6,PR00133,3461,238,66900000,66900238,66896539,238,66896777,28.7,4543.4921875,281078.89495798317,-1
abff7967f6,PR00134,3475,397,64220000,64220397,64216525,397,64216922,12.0,4540.828125,161755.47103274558,-2
abff7967f6,PR00135,3488,76,40760000,40760076,40756512,76,40756588,10.55,4546.0546875,536270.8947368421,-10
abff7967f6,PR00136,3513,299,97500000,97500299,97496487,299,97496786,45.35,4554.2265625,326076.20735785953,12
abff7967f6,PR00137,3527,183,32380000,32380183,32376473,183,32376656,17.4,4544.50390625,176921.6174863388,-12
abff7967f6,PR00138,3541,162,17100000,17100162,17096459,162,17096621,59.5,4542.92578125,105534.6975308642,-16
abff7967f6,PR00139,3582,28,46400000,46400028,46396418,28,46396446,27.2,4549.55078125,1657015.9285714286,-8
abff7967f6,PR00140,3622,368,78900000,78900368,78896378,368,78896746,16.05,4554.0859375,214393.33152173914,3
abff7967f6,PR00141,3633,725,103780000,103780725,103776367,725,103777092,45.0,4555.875,143140.81655172413,15
abff7967f6,PR00142,3678,582,76960000,76960582,76956322,582,76956904,16.65,4547.47265625,132228.35738831616,2
abff7967f6,PR00143,3716,185,43500000,43500185,43496284,185,43496469,17.85,4548.4453125,235116.04864864866,-9
abff7967f6,PR00144,3724,35,83160000,83160035,83156276,35,83156311,26.15,4556.71484375,2375894.6,5
abff7967f6,PR00145,3746,185,32480000,32480185,32476254,185,32476439,52.1,4544.50390625,175548.31891891893,-12
abff7967f6,PR00146,3788,416,49820000,49820416,49816212,416,49816628,28.549999999999997,4551.390625,119751.50961538461,-7
abff7967f6,PR00147,3823,25,55420000,55420025,55416177,25,55416202,13.65,4544.40234375,2216648.08,-5
abff7967f6,PR00148,3830,298,72640000,72640298,72636170,298,72636468,38.849999999999994,4548.078125,243746.53691275168,1
abff7967f6,PR00149,3839,247,25800000,25800247,25796161,247,25796408,25.0,4543.0546875,104438.8987854251,-14
abff7967f6,PR00150,3876,103,72660000,72660103,72656124,103,72656227,23.8,4548.078125,705400.2621359223,1
abff7967f6,PR00151,3916,25,61400000,61400025,61396084,25,61396109,28.65,4547.75,2455844.36,-3
abff7967f6,PR00152,3927,507,110420000,110420507,110416073,507,110416580,18.2,4550.609375,217784.18145956608,18
abff7967f6,PR00153,3945,171,20840000,20840171,20836055,171,20836226,49.05,4543.79296875,121849.27485380117,-15
abff7967f6,PR00154,3955,597,81800000,81800597,81796045,597,81796642,41.65,4556.28515625,137012.80067001676,4
abff7967f6,PR00155,3960,228,32660000,32660228,32656040,228,32656268,18.2,4544.50390625,143229.24561403508,-12
abff7967f6,PR00156,3967,261,83140000,83140261,83136033,261,83136294,29.599999999999998,4556.71484375,318529.8620689655,5
abff7967f6,PR00157,4002,193,43600000,43600193,43595998,193,43596191,16.05,4548.4453125,225887.0,-9
abff7967f6,PR00158,4027,181,32720000,32720181,32715973,181,32716154,45.0,4544.50390625,180752.2320441989,-12
abff7967f6,PR00159,4034,30,58380000,58380030,58375966,30,58375996,38.15,4545.86328125,1945866.5333333334,-4
abff7967f6,PR00160,4069,252,32800000,32800252,32795931,252,32796183,19.35,4544.49609375,130143.58333333333,-12
